TRANSFORMADOR;MACRO;MARCA_CONFIABLE;FRANJA;ETIQUETA;ESTADO_TRAFO;UBICACION;SUBESTACION;CELDA;PERIODO;KVA;MUNICIPIO;CANT_USU;ENERGIAENTRADA;ENERGIASALIDA;ENERGIAENTRADAGEN;CONSUMO_AP;CONSUMO_OTROS;PERDIDAS;IP;PERXUSU;CLIENTES_FACTOR;CLIENTES_OC;CLIENTES_PREPAGOS;CLIENTES_AUTOGENERADORES;CLIENTES_NIVEL>1;CANT_REV;BAL_MANUAL;BALANCECONFIABLE;BALANCEDEFINITIVO;BALANCECRITICADO;REGLA_APLICADA;MATRIZ;COORDENADA_X;COORDENADA_Y;ZONA;GRUPO;PERIOCIDAD;CUADRANTES;NIVEL_DE_TENSION;REGIONALES;GRUP_UBICA;CUAD_UBICA;PERIODO_INICIO;PERIODO_FIN;FILTRO_DESCART;CONSTANTE;RAMAL;ENTRADA_AJUSTADA;PERDIDAS_AJUSTADAS;IP_AJUSTADO;ENERGIASALIDAGEN;RANGO_DE_IP;IP_CALCULADO;RANGO_PERDIDAS;TRAFO_PERIODO;USU_SALEN;USU_NUEVOS;TRAFOS PRIORIZADOS.TRAFO;CANT_USU_TOTAL;CONSUMO_ADICIONAL;KVA_MENOR_15;IP_EFICIENTE_N1;PRIORIDAD;FECHA_INST_MED_MACRO;PERIODO NUM;AÑOS_MES_INSTALA;Aun_Mantener_Despues_Instalacion;Etiqueta_fin;BARRIO;VALIDAR_MI;VALIDAR_AGPE;TRAFOS_CONJUNTOS.TRAFO;VAL_CONJUNTOS;Revisiones_;etiqueta1;etiqueta2;red_abierta;etiqueta3;etiqueta4;etiqueta5;etiqueta6;etiqueta7;perdidas_no_tec;perdidas_total_gw;franja_fin;COLUMNA_FIN;DIRECCION;MARCA_MED;MODELO_MED;NUMERO_MED;SENTIDO_MED;AÑO_MED;RED_TRENZADA;period1;FLAG_Mantener_Venia_BuenoReduccion;FLAG_Ultimo_Periodo_BUENO;Transformadores_Mantener_BuenoReduccion;Acum_12_Perdidas;Acum_12_Entrada;Acum_12_Salida
5T02188;653955;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Rural;AGUACHICA;AGUC5;202607;75;Aguachica;9;2.896;3.334;819,92;700,2;0;-438;-15,13%;-48,7;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;APLICA;-73,59489774;8,25438236;2;E;Mensual;24;1;AGUACHICA;CUAD 16-17-18-19-24;CUAD 24 - AGUACHICA RURAL;202508;202607;Cumple;1;CENSAGUC5-1AGUC5_F;2896;-438;-15,12%;352;   <0%;-15,10%;    <0;5T02188202607;0;0;;9;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;VDA VILLA DE SAN ANDRES;SIN_MI;SOLO_AGPE;5T02188;SI;8;Revision;Revision;0;Revision;Revision;Revision;Revision;Revision;-0,001;-0,00043828;IP BAJO;IP BAJO;MONTEREY I;HEX;HXE34K CT BID.;29090481;Bidireccional;25;TRENZADO;202607;0;;0;10343,01;54982,01;44639
5T01857;546753;BUENO;REDUCCION;61 - Autogenerador;Activo;Urbano;AGUACHICA;AGUC7;202607;75;Aguachica;154;49.150;41.715;3459,66;535,32;0;7.434;15,13%;48;0;0;2;5;0;0;N;S;S;NO APLICO REGLA;;NA;-73,60602008;8,30449173;2;E;Mensual;17;1;AGUACHICA;CUAD 16-17-18-19-24;CUAD 17 - AGUACHICA;202508;202607;Cumple;30;CENSAGUC7-1AGUC7_F;49150;7435;15,13%;0; 10%-30%;15,10%;>=5000;5T01857202607;0;0;;155;0;CUMPLE;9,12%;2>=40kwh;;202607;;No;Validar;URB. VILLA MARIA;SIN_MI;SOLO_AGPE;5T01857;SI;6;validar;Macropuntos;0;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0,006;0,00743445;Reduccion;Reduccion;CRA 30 10A-30 AGUACHICA;HEX;HXE23K CT BID.;29090695;Bidireccional;25;TRENZADO;202607;0;;0;63955;497679,45;433724,45
5T01573;503027;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;AGUACHICA;AGUC3;202607;75;Aguachica;121;31.754;29.117;584,36;340,2;0;2.637;8,30%;21,6;0;0;3;1;0;0;N;S;S;NO APLICO REGLA;;NA;-73,63039;8,309092;2;E;Mensual;17;1;AGUACHICA;CUAD 16-17-18-19-24;CUAD 17 - AGUACHICA;202508;202607;Cumple;30;CENSAGUC3-1AGUC3_F;31754;2637;8,30%;0;  5%-10%;8,30%; 2000-3000;5T01573202607;0;0;;122;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;NULO;SIN_MI;SOLO_AGPE;5T01573;SI;18;validar;Macropuntos;10,95;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0,002;0,00263711;Reduccion;Reduccion;MNZ E CASA 6 URB VILLA IRINA;HEX;HXE23K CT BID.;29090822;Bidireccional;25;NO_APLICA;202607;0;;0;17417,4;331256,09;313838,69
5T01078;411719;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;AGUACHICA;AGUC7;202607;150;Aguachica;164;61.453;54.765;3132,63;352,8;0;6.688;10,88%;40,3;0;0;4;3;0;0;N;S;S;NO APLICO REGLA;;NA;-73,61281921;8,30813858;2;E;Mensual;17;1;AGUACHICA;CUAD 16-17-18-19-24;CUAD 17 - AGUACHICA;202508;202607;Cumple;80;CENSAGUC7-1AGUC7_F;61453;6688;10,88%;0; 10%-30%;10,90%;>=5000;5T01078202607;0;0;;166;0;CUMPLE;9,12%;2>=40kwh;;202607;;No;Validar;LAS AMERICAS  (AGUACHICA);SIN_MI;SOLO_AGPE;5T01078;SI;15;validar;Macropuntos;75,63;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0,005;0,00668791;Reduccion;Reduccion;CLL 6A CRA 22 B. LAS AMERICAS;HEX;HXE34K CT BID.;29755908;Bidireccional;25;NO_APLICA;202607;0;;0;59817,3;670217,62;610400,32
5T00160;803930;BUENO;IP BAJO;61 - Autogenerador;Activo;Urbano;AGUACHICA;AGUC4;202607;113;Aguachica;145;46.413;44.938;1832,75;369;0;1.475;3,18%;10,2;0;0;0;3;0;0;N;S;S;NO APLICO REGLA;;NA;-73,6074628;8,31273945;2;E;Mensual;17;1;AGUACHICA;CUAD 16-17-18-19-24;CUAD 17 - AGUACHICA;202508;202607;Cumple;60;CENSAGUC4-1AGUC4_F;46413;1475;3,18%;0;  0%-5%;3,20%; 1000-2000;5T00160202607;0;0;;145;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;LA VICTORIA;SIN_MI;SOLO_AGPE;5T00160;SI;2;validar;Macropuntos;0;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0;0,00147475;IP BAJO;IP BAJO;CLL 2  CRA 28 Y 29  LA VICTORIA;HEX;HXE34K CT BID.;29755766;Bidireccional;25;TRENZADO;202607;0;;0;36729,07;435906,07;399177
5T00137;803908;BUENO;REDUCCION;61 - Autogenerador;Activo;Urbano;AGUACHICA;AGUC7;202607;75;Aguachica;113;27.876;25.423;1116,08;309,6;0;2.453;8,80%;21,7;0;0;1;2;0;0;N;S;S;NO APLICO REGLA;;NA;-73,60599768;8,30606455;2;E;Mensual;17;1;AGUACHICA;CUAD 16-17-18-19-24;CUAD 17 - AGUACHICA;202508;202607;Cumple;40;CENSAGUC7-1AGUC7_F;27876;2453;8,80%;0;  5%-10%;8,80%; 2000-3000;5T00137202607;0;0;;113;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;NULO;SIN_MI;SOLO_AGPE;5T00137;SI;7;validar;Macropuntos;0,16;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0,001;0,00245329;Reduccion;Reduccion;CRA 30 9-20 AGUACHICA;HEX;HXE34K CT BID.;29755660;Bidireccional;25;TRENZADO;202607;0;;0;22794,27;305163,63;282369,36
5T00125;803896;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;AGUACHICA;AGUC7;202607;113;Aguachica;209;48.612;47.553;1031,65;591,12;0;1.059;2,18%;5;0;0;2;1;0;0;N;S;S;NO APLICO REGLA;;NA;-73,61040015;8,30484447;2;E;Mensual;17;1;AGUACHICA;CUAD 16-17-18-19-24;CUAD 17 - AGUACHICA;202508;202607;Cumple;60;CENSAGUC7-1AGUC7_F;48612;1059;2,18%;0;  0%-5%;2,20%; 1000-2000;5T00125202607;0;0;;210;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;NULO;SIN_MI;SOLO_AGPE;5T00125;SI;47;validar;Macropuntos;31,55;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;-0,001;0,00105851;IP BAJO;IP BAJO;CRA 24A CLL 11 Y 12 SAN JOSE;HEX;HXE34K CT;18282424;Bidireccional;18;NO_APLICA;202607;0;;0;19107,75;408907,25;389799,5
3T04840;1046198;BUENO;CONTROL;61 - Autogenerador;Activo;Urbano;ABREGO;ABRC1;202607;75;Abrego;21;3.661;1.728;721,1;159,84;0;1.933;52,81%;92,1;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-73,218311;8,087663;2;D;Mensual;14;1;OCAÑA;CUAD 12-13-14-15;CUAD 14 - ABREGO URBANO - RURAL;202508;202607;Cumple;60;CENSABRC1-1ABRC1_F;3661;1933;52,80%;0; 50%-70%;52,80%; 1000-2000;3T04840202607;0;0;;21;0;CUMPLE;9,12%;2>=40kwh;;202607;;No;Validar;ABREGO;SIN_MI;SOLO_AGPE;3T04840;SI;;validar;validar;0;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0,002;0,00193326;Reduccion;Reduccion;URB. BRISAS DE HATO VIEJO;HEX;HXE23K CT BID.;29090946;Bidireccional;25;TRENZADO;202607;0;;0;14058,59;32325,67;18267,08
3T04291;609042;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;OCAÑA;OCAOCANA2;202607;75;Ocaña;92;11.581;10.711;501,37;354,6;0;871;7,52%;9,5;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-73,36294864;8,25106448;2;D;Mensual;12;1;OCAÑA;CUAD 12-13-14-15;CUAD 12 - OCAÑA URBANO Y RURAL;202508;202607;Cumple;40;CENSOCAOCANA2-1OCAOCANA2_F;11581;870;7,51%;0;  5%-10%;7,50%;  500-1000;3T04291202607;0;0;;92;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;LAGO;SIN_MI;SOLO_AGPE;3T04291;SI;;validar;validar;0;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0;0,00087077;CONTROL;CONTROL;CLL 1  28A - 25 URB. MONTE LAGO;HEX;HXE34K CT;23909680;Bidireccional;22;TRENZADO;202607;0;;0;5719,46;121316,66;115597,2
3T00485;442773;BUENO;CONTROL;61 - Autogenerador;Activo;Rural;OCAÑA;OCAOCANA3;202607;45;Ocaña;32;7.075;5.143;594,78;205,2;0;1.932;27,30%;60,4;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-73,32696376;8,2319177;2;D;Mensual;12;1;OCAÑA;CUAD 12-13-14-15;CUAD 12 - OCAÑA URBANO Y RURAL;202508;202607;Cumple;40;CENSOCAOCANA3EC_1-OCAOCANA3_1095140;7075;1932;27,31%;80; 10%-30%;27,30%; 1000-2000;3T00485202607;0;0;;32;0;CUMPLE;9,12%;2>=40kwh;;202607;;No;Validar;NULO;SIN_MI;SOLO_AGPE;3T00485;SI;;validar;validar;99,94;Red_abierta > 60%;Red_abierta > 60%;Red_abierta > 60%;Red_abierta > 60%;Red_abierta > 60%;0,002;0,00193158;Reduccion;Reduccion;KDX 4 LLANO DE LOS ALCALDES VIA UFPS;HEX;HXE34K CT BID.;29090510;Bidireccional;25;NO_APLICA;202607;0;;0;17394,58;66905,98;49511,4
3T00371;803666;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;OCAÑA;OCAOCANA2;202607;75;Ocaña;113;17.809;16.466;328,66;410,4;0;1.342;7,54%;11,9;0;0;0;2;0;0;N;S;S;NO APLICO REGLA;;NA;-73,3623599;8,24972491;2;D;Mensual;12;1;OCAÑA;CUAD 12-13-14-15;CUAD 12 - OCAÑA URBANO Y RURAL;202508;202607;Cumple;40;CENSOCAOCANA2-1OCAOCANA2_F;17809;1343;7,54%;0;  5%-10%;7,50%; 1000-2000;3T00371202607;0;0;;113;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;LAGO;SIN_MI;SOLO_AGPE;3T00371;SI;2;validar;Macropuntos;0;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0,001;0,00134226;CONTROL;CONTROL;CLL 2 28-01 LAGOS ETAPA I;HEX;HXE34K CT;23909681;Bidireccional;22;TRENZADO;202607;0;;0;16156,56;195967,36;179810,8
2T01896;549242;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;PAMPLONA;PAMC3;202607;75;Pamplona;231;23.422;21.406;2741,76;461,16;0;2.016;8,61%;8,7;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,6449583;7,37637727;1;G;Mensual;10;1;PAMPLONA;CUAD 10-11-28;CUAD 10 - PAMPLONA;202508;202607;Cumple;1;CENSPAMC3-1PAMC3_F;23422;2016;8,61%;42;  5%-10%;8,60%; 2000-3000;2T01896202607;0;0;;231;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;EL CAMELLON;SIN_MI;SOLO_AGPE;2T01896;SI;1;validar;Macropuntos;6,12;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0,001;0,0020156;Reduccion;Reduccion;CLL 4  8-26;HEX;HXE34K CT BID.;29755897;Bidireccional;25;TRENZADO;202607;0;;0;17866,99;238348,59;220481,6
2T01894;545007;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;TOLEDO;TOLTOLEDO;202607;75;Toledo;202;18.005;16.868;925,13;749,52;0;1.138;6,32%;5,6;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,482491;7,311468;1;G;Mensual;11;1;PAMPLONA;CUAD 10-11-28;CUAD 11 - SAMORE - TOLEDO;202508;202607;Cumple;40;CENSTOLTOLEDO-1TOLTOLEDO_F;18005;1137;6,31%;0;  5%-10%;6,30%; 1000-2000;2T01894202607;0;0;;202;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;TOLEDO;SIN_MI;SOLO_AGPE;2T01894;SI;2;validar;Macropuntos;0;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0,001;0,00113761;CONTROL;CONTROL;CLL 3  5-14/22;HEX;HXE34K CT;25648150;Bidireccional;24;TRENZADO;202607;0;;0;15333,63;216704,87;201371,24
2T01634;473042;MANTENER;IP BAJO;No Tiene Etiqueta;Activo;Urbano;PAMPLONA;PAMC3;202607;45;Pamplona;133;19.441;20.067;481,14;291,6;0;-625;-3,22%;-4,7;0;0;0;1;0;0;N;N;S;NO APLICO REGLA;;NA;-72,64755474;7,37911115;1;G;Mensual;10;1;PAMPLONA;CUAD 10-11-28;CUAD 10 - PAMPLONA;202508;202607;Cumple;1;CENSPAMC3-1PAMC3_F;20763;696;3,35%;0;   <0%;-3,20%;    <0;2T01634202607;0;0;;133;0;CUMPLE;9,12%;4A<15kwh;;202607;;Sí, sigue en Mantener después de Instalación;Validar;NULO;SIN_MI;SOLO_AGPE;2T01634;SI;2;validar;Macropuntos;14,01;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;-0,001;-0,00062546;IP BAJO;IP BAJO;CLL 3 - 4-100;HEX;HXE34K CT;21457919;Bidireccional;21;NO_APLICA;202607;0;;0;5885,26;250440,86;244555,6
2T00079;803157;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;PAMPLONA;PAMC2;202607;45;Pamplona;148;14.004;13.724;244,38;1101,6;0;281;2%;1,9;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,647654;7,368654;1;G;Mensual;10;1;PAMPLONA;CUAD 10-11-28;CUAD 10 - PAMPLONA;202508;202607;Cumple;40;CENSPAMC2-1PAMC2_F;14004;280;2,00%;0;  0%-5%;2,00%;   0-500;2T00079202607;0;0;;148;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;NULO;SIN_MI;SOLO_AGPE;2T00079;SI;1;validar;Macropuntos;71,7;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0;0,00028078;IP BAJO;IP BAJO;CLL 8C  10-61;HEX;HXE34K CT;21457674;Bidireccional;21;NO_APLICA;202607;0;;0;6273,82;171734,02;165460,2
2T00051;803225;BUENO;IP BAJO;61 - Autogenerador;Activo;Urbano;PAMPLONA;PAMC2;202607;100;Pamplona;172;19.837;19.641;1296,84;1803,6;0;196;0,99%;1,1;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,64621659;7,3700641;1;G;Mensual;10;1;PAMPLONA;CUAD 10-11-28;CUAD 10 - PAMPLONA;202508;202607;Cumple;60;CENSPAMC2-1PAMC2_F;19837;196;0,99%;0;  0%-5%;1,00%;   0-500;2T00051202607;0;0;;172;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;NULO;SIN_MI;SOLO_AGPE;2T00051;SI;1;validar;Macropuntos;32,85;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0;0,00019624;IP BAJO;IP BAJO;CRA 10  8-24;HEX;HXE34K CT BID.;29755697;Bidireccional;25;NO_APLICA;202607;0;;0;8500,79;214785,39;206284,6
1T13603;1130750;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC52;202607;75;San José De Cúcuta;18;9.236;9.328;814,27;143,64;0;-92;-1%;-5,1;0;2;0;1;0;0;N;S;S;APLICO REGLA;Transformadores con la totalidad de los usuarios telemedidos (Prioridad 1);APLICA;-72,49203249;7,8897839;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSANC52-1SANC52_F;9236;-92;-1,00%;0;   <0%;-1,00%;    <0;1T13603202607;0;0;;18;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;LA RIVIERA;SIN_MI;SOLO_AGPE;1T13603;SI;2;validar;validar;5,6;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0;-9,19E-05;IP BAJO;IP BAJO;CRISTO REY;HEX;HXE34K CT BID.;29755900;Bidireccional;25;TRENZADO;202607;0;;0;24022,91;219895,95;195873,04
1T11950;646299;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC45;202607;113;Villa Del Rosario;69;26.679;26.910;2098,68;10,08;0;-231;-0,87%;-3,4;0;0;0;5;0;0;N;S;S;NO APLICO REGLA;;NA;-72,46855636;7,87598124;1;B;Mensual;4;1;CUCUTA;CUAD 4-5-6;CUAD 4 - ESCOBAL;202508;202607;Cumple;1;CENSSANC45-1SANC45_F;26679;-231;-0,87%;180;   <0%;-0,90%;    <0;1T11950202607;0;0;;69;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;BOCONO;SIN_MI;SOLO_AGPE;1T11950;SI;;validar;validar;0,21;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;-0,001;-0,0002314;IP BAJO;IP BAJO;CANELA 1 URB.NATURA VIA BOCONO;HEX;HXE34K CT BID.;29755852;Bidireccional;25;TRENZADO;202607;0;;0;18472,08;323948,32;305476,24
1T11642;626800;BUENO;CONTROL;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC43;202607;75;Villa Del Rosario;61;17.350;16.121;360,09;10,08;0;1.229;7,08%;20,1;0;0;0;1;0;0;N;S;S;APLICO REGLA;Macromedidor cambiado paso 1;NA;-72,478389;7,863333;1;B;Mensual;6;1;CUCUTA;CUAD 4-5-6;CUAD 6 - VILLA DEL ROSARIO;202508;202607;Cumple;1;CENSSANC43-1SANC43_F;17350;1229;7,08%;0;  5%-10%;7,10%; 1000-2000;1T11642202607;0;0;;61;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;TRAPICHES;SIN_MI;SOLO_AGPE;1T11642;SI;;validar;validar;0;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0,001;0,00122861;CONTROL;CONTROL;CONJUNTO CERRADO MANZANARES;HEX;HXE34K CT BID.;29755723;Bidireccional;25;TRENZADO;202607;0;;0;15593,45;182957,41;167363,96
1T11604;623712;BUENO;IP BAJO;61 - Autogenerador;Activo;Urbano;SANMATEO;SANC54;202607;113;San José De Cúcuta;23;12.680;12.685;2239,65;106,56;0;-5;-0,04%;-0,2;0;0;0;3;0;0;N;S;S;NO APLICO REGLA;Recuperacion de energia de algun cliente (Periodo 0);NA;-72,489178;7,923755;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSANC54-1SANC54_F;12680;-5;-0,04%;840;   <0%;0,00%;    <0;1T11604202607;0;0;;23;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;NIZA;SIN_MI;SOLO_AGPE;1T11604;SI;;validar;validar;0;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0;-4,91E-06;IP BAJO;IP BAJO;CLL 24AN 18E URB NIZA;HEX;HXE34K CT BID.;29755903;Bidireccional;25;TRENZADO;202607;0;;0;9229,21;153232,93;144003,72
1T11468;617027;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;SEVILLA;SEVC5;202607;75;San José De Cúcuta;154;39.828;34.416;1308,38;364,68;0;5.412;13,59%;34,9;0;0;5;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,50115005;7,93234101;1;A;Mensual;2;1;CUCUTA;CUAD 1-2-3-20;CAUD 2 - SEVILLA - INSULA;202508;202607;Cumple;40;CENSSEVC5-1SEVC5_F;39828;5412;13,59%;0; 10%-30%;13,60%;>=5000;1T11468202607;0;0;;155;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;PANAMERICANO;SIN_MI;SOLO_AGPE;1T11468;SI;1;validar;Macropuntos;2,42;Macropuntos;Macropuntos;Macropuntos;Macropuntos;Macropuntos;0,004;0,0054119;Reduccion;Reduccion;KDX 341 PANAMERICANO;HEX;HXE23K CT BID.;29855398;Bidireccional;25;TRENZADO;202607;0;;0;46500,42;449587,35;403086,93
1T11313;605251;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC54;202607;75;San José De Cúcuta;68;23.991;20.116;1985,47;43,92;0;3.876;16,15%;57;0;0;0;4;0;0;S;S;S;NO APLICO REGLA;Macromedidor cambiado paso 1;NA;-72,489684;7,922487;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;40;CENSSANC54-1SANC54_F;23991;3875;16,15%;1; 10%-30%;16,20%; 3000-5000;1T11313202607;0;0;;68;0;CUMPLE;9,12%;2>=40kwh;;202607;;No;Validar;NIZA;SIN_MI;SOLO_AGPE;1T11313;SI;;validar;validar;0;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0,003;0,00387555;Reduccion;Reduccion;CLL 23AN AVE 16AE CANAL BOGOTA NIZA;HEX;HXE34K CT BID.;29755829;Bidireccional;25;TRENZADO;202607;0;;0;28534,3;256074,34;227540,04
1T11289;605238;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC54;202607;75;San José De Cúcuta;89;19.834;19.251;1496,96;88,2;0;583;2,94%;6,5;0;0;0;3;0;0;N;S;S;APLICO REGLA;Recuperacion de energia de algun cliente (Periodo -1);NA;-72,489623;7,922993;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSANC54-1SANC54_F;19834;583;2,94%;0;  0%-5%;2,90%;  500-1000;1T11289202607;0;0;;90;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;NIZA;SIN_MI;SOLO_AGPE;1T11289;SI;2;validar;validar;0;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0;0,00058296;IP BAJO;IP BAJO;CLL 24  16E-162 NIZA;HEX;HXE34K CT BID.;29755738;Bidireccional;25;TRENZADO;202607;0;;0;5745,34;198314,74;192569,4
1T11072;585838;MANTENER;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC57;202607;150;Villa Del Rosario;26;27.346;30.187;10665,5;133,2;0;-2.842;-10,39%;-109,3;1;0;0;10;0;0;N;N;S;NO APLICO REGLA;;NA;-72,45856557;7,8653418;1;B;Mensual;6;1;CUCUTA;CUAD 4-5-6;CUAD 6 - VILLA DEL ROSARIO;202508;202607;Cumple;1;CENSSANC57-1SANC57_F;31235;1048;3,36%;6000;   <0%;-10,40%;    <0;1T11072202607;0;0;;26;0;CUMPLE;9,12%;4A<15kwh;;202607;;Sí, sigue en Mantener después de Instalación;Validar;BOCONO;SIN_MI;SOLO_AGPE;1T11072;SI;;validar;validar;0;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;-0,004;-0,0028417;IP BAJO;IP BAJO;CONJUNTO IBIZA COUNTRY HOUSE;HEX;HXF300 BIDIRECCIONAL;25644943;Bidireccional;24;TRENZADO;202607;1;;0;5422,18;39159,38;33737,2
1T10604;548923;BUENO;IP BAJO;61 - Autogenerador;Activo;Rural;PATIOS;PATC2;202607;45;Los Patios;11;5.459;5.227;1198,87;792;0;232;4,25%;21,1;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;Recuperacion de energia de algun cliente (Periodo 0);NA;-72,567477;7,726022;1;B;Mensual;5;1;CUCUTA;CUAD 4-5-6;CAUD 5 - PATIOS;202508;202607;Cumple;30;CENSPATC2EC_2-PATIOS_1062694_RECTA COROZAL;5459;232;4,25%;540;  0%-5%;4,20%;   0-500;1T10604202607;0;0;;11;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;VEREDA COROZAL;SIN_MI;SOLO_AGPE;1T10604;SI;;validar;validar;0;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0;0,00023187;IP BAJO;IP BAJO;MNZ I LOT 120-1 ALTOS DE COROZAL;HEX;HXE34K CT BID.;29755848;Bidireccional;25;TRENZADO;202607;0;;0;2350,96;47629,96;45279
1T10436;538103;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;ESCOBAL;ESCC61;202607;113;San José De Cúcuta;58;25.264;24.139;724,11;12,6;0;1.126;4,45%;19,4;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,46470159;7,90296539;1;B;Mensual;4;1;CUCUTA;CUAD 4-5-6;CUAD 4 - ESCOBAL;202508;202607;Cumple;60;CENSESCC61-1ESCC61_F;25264;1125;4,45%;0;  0%-5%;4,50%; 1000-2000;1T10436202607;0;0;;58;0;CUMPLE;9,12%;3A>=15kwh;;202607;;No;Validar;BOCONO;SIN_MI;SOLO_AGPE;1T10436;SI;5;validar;validar;3,38;validar;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;Conj_AC_Urb;0;0,00112551;IP BAJO;IP BAJO;PORTAL DE BOCONO SANTA CLARA LOTE 1;HEX;HXE34K CT;20368678;Bidireccional;18;TRENZADO;202607;0;;0;18695,6;249675,2;230979,6
